iter	Logloss
392	0.3678033412
393	0.3678020383
394	0.3677963415
395	0.3677811559
396	0.3677705064
397	0.367768864
398	0.3677680615
399	0.3677669413
400	0.3677610932
401	0.3677573083
402	0.3677536076
403	0.3677465478
404	0.3677442796
405	0.3677378873
406	0.3677302493
407	0.3677234487
408	0.3677201207
409	0.3677132047
410	0.3677062619
411	0.3676984142
412	0.3676948869
413	0.3676913467
414	0.3676913335
415	0.3676858725
416	0.3676822849
417	0.3676726896
418	0.3676714632
419	0.367649497
420	0.3676472631
421	0.3676436726
422	0.3676356831
423	0.3676272017
424	0.3676153825
425	0.3676153821
426	0.3676112681
427	0.3676069116
428	0.3675970463
429	0.3675886698
430	0.3675812038
431	0.3675725307
432	0.3675725087
433	0.367565366
434	0.367552561
435	0.3675503274
436	0.3675480888
437	0.3675364272
438	0.3675243478
439	0.367522655
440	0.3675205118
441	0.3675178743
442	0.3675157578
443	0.3675087375
444	0.3675069082
445	0.3675027714
446	0.3674886374
447	0.3674731565
448	0.3674711771
449	0.3674648525
450	0.3674642113
451	0.3674597661
452	0.3674476767
453	0.3674445944
454	0.3674427582
455	0.3674383874
456	0.3674373278
457	0.367434169
458	0.3674337173
459	0.3674325981
460	0.3674284621
461	0.367417984
462	0.367407295
463	0.3674066115
464	0.3674058216
465	0.3674054277
466	0.3674045632
467	0.3674006932
468	0.3673991332
469	0.3673985664
470	0.3673958544
471	0.3673913274
472	0.36738657
473	0.3673862207
474	0.3673844602
475	0.3673828136
476	0.3673824774
477	0.3673810056
478	0.3673796173
479	0.3673788078
480	0.3673781955
481	0.3673749878
482	0.3673745246
483	0.3673695763
484	0.3673673554
485	0.3673615347
486	0.3673566567
487	0.3673553332
488	0.3673549606
489	0.3673539793
490	0.3673508301
491	0.3673410127
492	0.3673401467
493	0.3673392395
494	0.3673385201
495	0.367327609
496	0.3673200932
497	0.3673193455
498	0.3673178693
499	0.3673159638
